PID,QHC1,QHC2,QHC3,QHC4,QHC5,QHC6,QHC7,QHC8,QHC9,QHC10,QHC11,QHC12,QHC13,QHC14,QHC15
1,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
2,STRONGLY DISAGREE,STRONGLY DISAGREE,NEUTRAL ,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
3,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY AGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
4,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE
5,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,NEUTRAL 
6,NEUTRAL ,SLIGHTLY AGREE,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY AGREE,NEUTRAL ,NEUTRAL ,STRONGLY DISAGREE,STRONGLY AGREE
7,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
8,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL 
9,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
10,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
